category,product_id,product_title,product_url,seller_name,price_value,price_currency,price_raw,source
Graphics Cards,14365288,Gainward GeForce RTX 5080 Phantom GS HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=14365288,Proshop,15500.0,SEK,15 500 kr,html
Graphics Cards,14365288,Gainward GeForce RTX 5080 Phantom GS HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=14365288,CDON,15506.0,SEK,15 506 kr 15 500 kr,html
Graphics Cards,14365288,Gainward GeForce RTX 5080 Phantom GS HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=14365288,Fcomputer,15502.0,SEK,15 502 kr,html
Graphics Cards,14365298,Gainward GeForce RTX 5080 Phantom HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=14365298,ComputerSalg,13911.0,SEK,13 911 kr,html
Graphics Cards,14365298,Gainward GeForce RTX 5080 Phantom HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=14365298,CDON,13911.0,SEK,13 911 kr,html
Graphics Cards,14365298,Gainward GeForce RTX 5080 Phantom HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=14365298,Fcomputer,15658.0,SEK,15 658 kr,html
Graphics Cards,14365298,Gainward GeForce RTX 5080 Phantom HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=14365298,Komplett.se,15659.0,SEK,15 659 kr,html
Graphics Cards,11995696,Sapphire Radeon RX 7800 XT Pure 2xHDMI 2xDP 16GB,https://www.prisjakt.nu/produkt.php?p=11995696,Webhallen,6999.0,SEK,6 999 kr 5 999 kr,html
Graphics Cards,11995696,Sapphire Radeon RX 7800 XT Pure 2xHDMI 2xDP 16GB,https://www.prisjakt.nu/produkt.php?p=11995696,Proshop,6885.0,SEK,6 885 kr,html
Graphics Cards,11995696,Sapphire Radeon RX 7800 XT Pure 2xHDMI 2xDP 16GB,https://www.prisjakt.nu/produkt.php?p=11995696,ComputerSalg,6997.0,SEK,6 997 kr,html
Graphics Cards,11995696,Sapphire Radeon RX 7800 XT Pure 2xHDMI 2xDP 16GB,https://www.prisjakt.nu/produkt.php?p=11995696,CDON,8340.0,SEK,8 340 kr 6 997 kr,html
Graphics Cards,12569400,ASRock Intel Arc A770 Phantom Gaming OC HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=12569400,ComputerSalg,3838.0,SEK,3 838 kr,html
Graphics Cards,12569400,ASRock Intel Arc A770 Phantom Gaming OC HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=12569400,CDON,3838.0,SEK,3 838 kr,html
